Cluster,Household,Person_ID,Age,State,Residence,Education,Edu_Years,Wealth,Marital_Status,Religion,Caste,Media_Exposure
91330,86,1,52,36,2,0,0,4,1,1,991,0
39705,90,1,40,21,2,1,2,1,1,1,991,1
34843,68,3,31,20,2,2,12,4,1,1,991,2
63531,73,4,15,34,2,2,9,3,0,1,991,2
27402,44,1,31,14,2,2,8,1,1,3,992,2
1530,22,1,44,1,2,1,5,2,1,2,991,1
92931,29,7,26,9,2,3,15,5,0,1,991,2
34537,71,1,47,19,2,2,10,1,1,1,991,2
86014,61,3,27,24,2,3,14,5,1,1,991,2
58527,30,3,27,30,2,2,11,4,0,1,991,2
11625,33,3,23,8,2,3,15,3,0,1,991,2
24111,90,1,36,11,2,2,8,3,1,5,991,0
3014,35,5,25,2,2,2,12,4,0,1,991,2
17123,1,3,38,9,2,0,0,1,0,1,991,0
12835,79,3,45,8,2,1,1,3,1,1,991,0
31028,59,3,30,18,2,2,7,2,1,1,991,1
43933,78,3,32,23,2,3,15,5,1,1,991,2
12602,34,1,49,8,2,2,10,3,1,1,991,2
56642,29,5,34,29,2,3,19,3,1,1,992,2
49716,65,1,24,27,2,1,1,1,1,1,992,0
52611,92,3,15,27,2,2,9,2,0,1,991,2
29535,72,1,28,17,2,2,12,3,1,3,992,2
59310,53,3,39,32,2,2,8,4,1,1,991,0
611,14,1,27,1,2,3,15,5,1,2,991,2
81918,4,1,42,18,2,2,7,2,1,1,991,1
90322,33,3,25,36,2,2,11,3,0,1,991,2
12512,67,1,26,8,2,2,8,1,1,1,992,1
33041,68,1,28,19,2,2,10,2,0,2,991,2
85240,1,5,32,24,2,2,9,3,1,1,991,2
16912,16,1,52,9,2,0,0,2,1,1,991,1
92842,44,1,39,9,2,2,8,4,1,2,991,2
52719,6,1,30,27,2,3,15,4,1,1,991,2
81431,7,3,30,18,2,2,10,2,1,1,991,2
13934,14,3,26,9,2,3,15,4,0,1,991,2
56619,51,2,35,29,2,1,4,3,1,2,991,0
82020,66,1,50,18,2,0,0,2,1,2,993,0
36430,84,4,25,20,2,3,17,2,0,1,991,2
34629,39,1,36,20,2,2,6,1,1,1,991,0
61907,73,3,31,33,2,3,16,4,0,1,991,2
87201,50,1,25,17,2,0,0,1,1,96,992,0
25514,99,1,28,12,2,3,14,3,0,3,992,2
24822,58,1,49,12,2,2,8,2,1,1,991,2
48831,57,4,23,24,2,2,10,4,0,2,993,2
1410,97,5,27,1,2,3,18,5,0,2,993,2
56229,28,2,29,29,2,2,11,3,1,1,991,2
1527,46,1,38,1,2,2,9,5,1,2,991,2
57405,90,3,23,29,2,2,9,2,0,1,991,2
15035,96,3,19,9,2,2,8,2,0,1,991,0
25209,80,5,15,12,2,2,8,2,0,3,992,2
48917,24,1,53,24,2,1,4,1,5,1,991,0
1342,62,7,18,1,2,2,10,3,0,2,991,2
44027,67,3,22,23,2,3,15,5,0,1,991,2
26102,24,3,36,13,2,2,6,2,1,3,992,1
10424,48,1,30,8,2,1,5,4,1,1,991,2
1335,82,3,29,1,2,3,16,4,0,2,991,2
87031,38,4,19,27,2,3,13,2,0,5,991,2
37610,54,1,50,21,2,0,0,1,1,1,991,0
17329,8,3,19,9,2,2,11,1,0,1,991,2
39810,87,3,17,21,2,2,8,1,0,1,991,0
85922,78,3,46,24,2,2,11,5,1,1,991,2
56612,68,4,25,29,2,2,12,2,1,1,991,2
5402,44,4,23,3,2,1,5,5,0,4,991,1
40809,73,3,35,22,2,2,7,3,1,1,991,2
21143,81,3,26,10,2,2,9,1,1,1,991,2
92603,25,3,33,9,2,3,17,4,1,1,991,2
837,99,7,22,1,2,2,9,4,0,2,991,2
39208,27,1,48,21,2,3,15,4,1,1,991,2
20214,34,1,52,9,2,0,0,2,1,3,991,1
45843,53,5,20,23,2,2,8,2,0,1,991,2
25332,33,1,53,12,2,2,9,2,1,3,991,2
46743,53,4,21,23,2,3,17,5,0,1,991,2
83640,53,1,40,22,2,2,12,4,1,1,991,2
1214,75,4,22,1,2,2,12,3,0,2,991,2
48527,46,1,25,24,2,1,5,2,1,1,992,1
39533,13,3,19,21,2,2,11,1,0,1,991,2
24138,77,1,53,11,2,2,9,4,1,3,991,2
19942,16,3,20,9,2,2,12,3,0,1,991,2
80705,68,1,36,12,2,2,9,1,1,3,991,2
85308,67,7,31,24,2,2,10,4,1,1,991,2
17317,73,6,17,9,2,2,10,3,0,1,991,2
11612,31,1,33,8,2,2,12,3,1,1,991,2
57516,68,1,44,29,2,2,10,4,1,3,993,2
39705,92,2,19,21,2,2,9,1,0,1,991,2
42412,31,4,18,23,2,2,11,1,0,1,991,2
7512,35,5,18,6,2,2,11,4,0,1,991,2
15440,26,1,36,9,2,2,8,2,1,1,991,1
41844,23,3,18,23,2,2,12,1,0,1,991,2
3227,21,3,20,2,2,2,10,2,0,1,991,2
22907,38,1,44,10,2,0,0,1,1,1,991,0
59203,38,6,29,32,2,2,10,4,0,1,991,2
15243,35,1,53,9,2,3,14,2,1,1,991,2
18520,2,1,47,9,2,1,5,4,1,1,991,0
36219,91,4,18,20,2,2,12,2,0,1,991,2
28713,1,1,26,15,2,2,8,2,1,5,992,1
86815,17,1,25,23,2,2,8,1,1,1,991,1
28804,42,2,44,15,2,1,3,3,1,3,992,2
12914,45,3,17,8,2,2,9,1,0,1,991,2
3807,58,1,30,3,2,2,6,1,1,1,991,2
21108,11,1,38,10,2,2,6,2,1,1,991,2
83103,71,1,28,22,2,2,6,2,1,1,991,1
83337,57,6,19,22,2,2,10,2,0,1,991,2
